id,location,total_jobs,total_jobs_rel,other_job_types,other_job_types_rel,fulltime_employees,fulltime_employees_rel,fulltime_contractors,fulltime_contractors_rel,parttime_employees,parttime_employees_rel,avg_yearly_salary_lower,avg_yearly_salary_upper,pseudo_avg_yearly_salary,avg_hourly_wage_lower,avg_hourly_wage_upper,pseudo_avg_hourly_wage,population
1,Alabama,261,0.054018459159551,7,0.001448770935314,240,0.04967214635361,10,0.002069672764734,4,0.000827869105894,60555.5555555556,88823.5294117647,74689.5424836601,25.5,30.5,28,4887871
2,Alaska,4,0.005569301257829,1,0.001392325314457,3,0.004176975943372,0,0,0,0,0,0,0,0,0,0,737438
4,Arizona,34,0.00479935177518,0,0,24,0.003387777723656,10,0.001411574051523,0,0,49375,59000,54187.5,16.6666666666667,20.8333333333333,18.75,7171646
5,Arkansas,104,0.035007036477782,3,0.001009818359936,89,0.029957944678102,6,0.002019636719872,6,0.002019636719872,57170.1666666667,80504,68837.0833333333,26,29.75,27.875,3013825
6,California,1074,0.027392058726058,52,0.001326244929008,787,0.020072206906339,200,0.005100942034648,35,0.000892664856063,66554.9504950495,88895.28,77725.1152475248,20.2777777777778,27.6666666666667,23.9722222222222,39865590
8,Colorado,327,0.058234815768636,8,0.001424704972933,274,0.048796145322955,30,0.005342643648499,15,0.002671321824249,52266.3421052632,73348.6315789474,62807.4868421053,19.7916666666667,24.7894736842105,22.2905701754386,5695564
9,Connecticut,33,0.009359520169407,0,0,21,0.005956058289623,11,0.003119840056469,1,0.000283621823315,79000,96000,87500,23.25,30,26.625,3572665
10,Delaware,39,0.041193624820839,0,0,22,0.023237429386114,14,0.014787455063891,3,0.003168740370834,75000,90000,82500,17.6666666666667,18,17.8333333333333,967171
12,Florida,442,0.021023247449973,18,0.000856150348641,350,0.01664736789025,63,0.002996526220245,11,0.000523202990836,46488.7023809524,60338.7738095238,53413.7380952381,17.4318181818182,21.906976744186,19.6693974630021,21299325
13,Georgia,571,0.055001228302553,17,0.001637514678009,497,0.047873223233571,42,0.004045624498612,15,0.001444865892361,58225.3333333333,71091.5535714286,64658.443452381,14.9322033898305,31.0819672131148,23.0070853014726,10519475
